,Disposition,Orbital Period,Transit Epoch,Impact Parameter,Transit Duration,Transit Depth,Planetary Radius,Equilibrium Temperature,Transit Signal-to-Noise,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Radius,Right Ascension,Declination,Kepler-band
1435,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
2264,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,2
3188,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,3
1672,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
6007,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
4197,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
6676,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,1,2,1
6023,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,2,2
4522,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
1784,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
931,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,3,2
4482,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,1,2
1253,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
1820,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,2,3
5792,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
2774,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
637,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,3
1090,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
439,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
204,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
1748,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,1,2
1255,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
6107,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
5881,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,3,1,2
2050,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,3
5553,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
2983,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,1,3,2
4835,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
2525,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
2111,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,3
6055,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,2,2
1789,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
3389,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,3
3316,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,1
4513,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,2,1,2
60,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,3
3675,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,2,2
401,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
3991,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,1,1,3,2,2
5185,FALSE POSITIVE,1,1,1,1,1,1,1,2,1,3,1,1,3,2
2685,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
5836,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
3185,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
5347,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,3,2
2392,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
6303,FALSE POSITIVE,1,1,1,1,1,1,1,2,1,3,1,1,1,2
4247,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
5958,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
1666,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
766,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
4235,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
4116,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,3
5512,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,3
1916,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,3
6235,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,2,2
5065,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
5366,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
2377,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
2490,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
1687,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
4823,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,3,2,2
5179,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
1837,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
2676,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
4451,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
3472,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
3839,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
3727,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
3390,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
5539,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
1931,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,2
1252,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
5235,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,2,1,2
4259,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,3
3330,FALSE POSITIVE,1,1,1,2,1,1,1,1,1,2,1,3,1,1
2951,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
2158,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
3145,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
6561,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
1753,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
4305,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
6544,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,2,1,2
1429,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,3
1060,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
5418,FALSE POSITIVE,1,1,1,1,1,1,2,1,1,2,1,3,2,2
6062,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
5354,FALSE POSITIVE,1,1,0,1,1,1,1,1,1,3,1,3,2,3
5682,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
5422,FALSE POSITIVE,1,1,1,2,1,1,1,1,1,3,1,2,2,2
2603,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
4867,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
1862,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
6539,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
6815,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
4683,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,2,1,2
3431,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,2,2
1373,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
5023,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
4467,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
2804,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
4220,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,3
4488,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,1,1,3,1,2
322,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
179,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
6557,FALSE POSITIVE,1,1,1,1,1,1,2,1,1,1,1,3,3,2
120,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,2
5770,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
5546,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,2,2,2
2865,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
90,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,1,2
1791,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
5345,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
4909,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
4135,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
4633,FALSE POSITIVE,2,1,0,1,1,1,1,1,1,2,1,3,1,2
5467,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
1180,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
5571,FALSE POSITIVE,1,0,1,1,1,1,1,1,1,3,1,3,1,2
4679,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,3,1,2
2801,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
1084,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
5272,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
5878,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
5103,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
3555,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,3,2,2
893,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
3069,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,3,2
519,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
6334,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,3,3,2
6556,FALSE POSITIVE,1,1,1,2,1,1,1,1,1,3,1,2,1,2
2144,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
1606,FALSE POSITIVE,1,1,1,1,1,1,2,1,1,1,1,2,2,1
2720,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
895,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
2512,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
4078,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,2,1,2
1134,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,1,2
4050,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
2075,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,1
5481,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,1
4864,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,3,3,2
5039,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
5927,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
4712,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,1
1375,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
4971,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,2,2,2
4579,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,2,1,2
6505,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
4173,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
688,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,3,3,2
1952,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
1899,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
3384,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,2
6489,FALSE POSITIVE,1,1,1,1,1,1,1,2,1,3,1,2,1,2
964,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,3
6614,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
6432,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,3,2
127,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
4270,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
6942,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
511,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,3
4099,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,1,3,2
3585,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
3342,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
1886,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,3
3768,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
6882,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
4958,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,3,2,1
560,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
1414,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
