,Disposition,Orbital Period,Transit Epoch,Impact Parameter,Transit Duration,Transit Depth,Planetary Radius,Equilibrium Temperature,Transit Signal-to-Noise,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Radius,Right Ascension,Declination,Kepler-band
4705,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
2583,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
245,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
1191,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,3,2
1726,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,3,2
2252,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
3859,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,2,3,2
4555,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
5979,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
5593,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
673,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
3582,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
6006,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
6406,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
4104,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
5495,FALSE POSITIVE,1,1,1,1,1,1,1,2,1,3,1,3,2,2
5033,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,2
6363,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
4272,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,1,3,2
6133,FALSE POSITIVE,1,1,1,1,1,1,1,2,1,3,1,2,3,2
6716,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,2,1,2
23,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
497,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
1444,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,3,2
3808,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
6911,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
363,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,3
734,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,1,2
3773,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,2
5182,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
3459,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
2283,FALSE POSITIVE,1,1,1,1,1,1,1,2,1,3,1,2,3,2
2947,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
3474,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,1,2
1484,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
5029,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,2
13,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,2
286,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
3586,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
3972,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
5231,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,2,1,3
865,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
142,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
1769,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
2278,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
3992,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
4034,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,3
5669,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
3962,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
5622,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
3853,FALSE POSITIVE,1,1,1,1,2,1,1,1,2,3,1,2,1,3
635,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,3,2
2290,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
4391,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
4886,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
2475,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
1410,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,3
135,CONFIRMED,1,1,0,1,1,1,1,1,1,3,1,2,1,3
6844,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,1,2,2
2031,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,3
3946,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
2594,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
5496,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
534,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
5219,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
3968,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
5799,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
5685,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,3,3,2
1318,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
5569,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,1,2
2068,FALSE POSITIVE,1,1,0,1,1,1,1,1,1,3,1,3,2,2
1850,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
1321,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
6584,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
6068,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
4793,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,2,2
6822,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
4312,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
126,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
4159,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
3498,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
1605,CONFIRMED,1,1,0,1,1,1,1,1,1,3,1,3,2,2
1203,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,3,2
2091,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,3,1,2
3718,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
3178,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
3261,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,3
6595,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,2,3,2
6,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,3
5872,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
484,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,3
4328,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
3694,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
5100,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
